Row ID,Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
46,US-2024-102969,"April 29, 2024",05/03/2024,Kavya Kumar,Consumer,West,Office Supplies,Labels,Sharpie Label Tape Deluxe,6.17,1.0,0.15,3.58
47,US-2021-101788,2021-09-06,"September 10, 2021",Amit Nair,Consumer,East,Furniture,Tables,Chromcraft Round Table Classic,799.51,2.0,0.0,196.64
48,US-2021-101901,14-Dec-2021,2021-12-17,Sofia Patel,Home Office,East,Technology,Phones,Samsung Galaxy Dock Standard,1528.56,6.0,0.2,243.7
49,US-2024-100325,"October 11, 2024",10/15/2024,Daniel Wright,Consumer,South,Furniture,Chairs,Global Deluxe Chair Deluxe,240.99,1.0,0.15,51.34
50,US-2024-101221,11-Sep-2024,2024-09-15,Zoe Martinez,Consumer,South,Furniture,Tables,Bretford Conference Table Classic,1179.19,5.0,0.2,102.45
51,US-2024-102317,25/10/2024,28-Oct-2024,Arjun Rodriguez,Consumer,Central,Office Supplies,Paper,HP Premium Paper Pro,15.5,1.0,0.0,10.53
52,US-2021-100481,08/03/2021,08/08/2021,Wei Thomas,Home Office,East,Technology,Phones,Cisco IP Phone Standard,303.13,1.0,0.0,95.43
53,US-2023-103243,2023-08-28,"September 04, 2023",Mateo Garcia,Home Office,South,Office Supplies,Supplies,Elmer's Glue Pack Pro,12.77,1.0,0.1,6.41
54,US-2023-102579,04/30/2023,03/05/2023,Ravi Wright,Home Office,East,Office Supplies,Supplies,Elmer's Glue Pack Standard,40.05,3.0,0.4,9.84
55,US-2022-102003,23-Jan-2022,2022-01-26,Nina Brown,Corporate,West,Office Supplies,Labels,Avery Label Set Value,36.55,4.0,0.0,23.87
56,US-2022-102253,2022-09-27,"October 01, 2022",Mateo Patel,Corporate,West,Office Supplies,Storage,IRIS Storage Box Standard,282.88,4.0,0.4,23.96
57,US-2024-101481,"June 16, 2024",06/20/2024,Kenji Clark,Consumer,East,Technology,Phones,Samsung Galaxy Dock Value,393.28,2.0,0.6,-298.32
58,US-2023-100045,02/11/2023,06-Nov-2023,Priya Wilson,Corporate,East,Office Supplies,Storage,Fellowes File Cart Classic,243.98,3.0,0.15,83.06
59,US-2021-101648,08-Jun-2021,2021-06-12,Lucas Rodriguez,Home Office,South,Furniture,Bookcases,O'Sullivan Bookcase Standard,967.2,4.0,0.0,267.28
60,US-2023-101888,29-Jun-2023,2023-07-02,Amit Brown,Corporate,West,Office Supplies,Art,Newell Scissors Classic,31.66,4.0,0.4,11.09
61,US-2022-102722,09/06/2022,08/09/2022,Kenji Young,Corporate,South,Furniture,Tables,Bretford Conference Table Pro,448.75,2.0,0.1,92.84
62,US-2023-100230,11/30/2023,05/12/2023,Arjun Chen,Consumer,West,Office Supplies,Art,Newell Scissors Classic,70.42,5.0,0.0,38.34
63,US-2022-102788,05-Dec-2022,2022-12-10,Grace Young,Consumer,Central,Office Supplies,Appliances,Avanti Refrigerator Value,76.34,1.0,0.15,21.91
64,US-2022-100700,27-May-2022,2022-05-30,Sofia Lee,Consumer,East,Office Supplies,Art,Newell Scissors Pro,18.45,2.0,0.2,9.47
65,US-2023-102159,2023-08-31,"September 04, 2023",Ravi Walker,Corporate,West,Technology,Machines,Cubify 3D Printer Standard,544.83,1.0,0.1,76.53
66,US-2022-100115,14/04/2022,17-Apr-2022,Yusuf King,Corporate,South,Office Supplies,Storage,Fellowes File Cart Classic,116.69,1.0,0.1,37.12
67,US-2024-102731,2024-10-29,"November 01, 2024",Sofia Smith,Home Office,East,Office Supplies,Binders,GBC Binding System Standard,18.07,1.0,0.2,9.01
68,US-2023-103086,21/07/2023,24-Jul-2023,Arjun Anderson,Consumer,West,Technology,Machines,Cubify 3D Printer Pro,837.33,2.0,0.3,-76.76
69,US-2024-101124,04/11/2024,18/04/2024,Priya Clark,Consumer,East,Office Supplies,Art,Newell Scissors Deluxe,7.66,3.0,0.8,-9.38
70,US-2024-103236,01/06/2024,10/01/2024,James Martinez,Consumer,South,Furniture,Chairs,Hon Task Chair Deluxe,129.06,1.0,0.5,-45.12
71,US-2023-101798,2023-11-19,"November 23, 2023",Mia Davis,Consumer,West,Furniture,Furnishings,Eldon Desk Lamp Classic,43.0,1.0,0.1,15.45
72,US-2023-100697,"December 08, 2023",12/12/2023,Zoe Garcia,Consumer,South,Office Supplies,Supplies,Stanley Hole Punch Classic,78.74,3.0,0.2,32.37
73,US-2021-100576,19/04/2021,21-Apr-2021,Yusuf Johnson,Corporate,Central,Office Supplies,Paper,HP Premium Paper Deluxe,26.79,3.0,0.2,16.45
74,US-2021-101862,04/24/2021,30/04/2021,Isabella Martinez,Consumer,East,Furniture,Bookcases,O'Sullivan Bookcase Deluxe,773.46,3.0,0.0,208.83
75,US-2023-100845,2023-05-05,"May 11, 2023",Liam Anderson,Home Office,West,Office Supplies,Appliances,Avanti Refrigerator Standard,80.55,1.0,0.2,24.26
76,US-2023-102221,2023-04-08,"April 12, 2023",Laura Walker,Consumer,West,Furniture,Furnishings,Fellowes Wall Clock Value,212.91,4.0,0.2,60.32
77,US-2024-102054,2024-07-25,"July 29, 2024",Zoe King,home office,East,Furniture,Tables,Chromcraft Round Table Deluxe,919.33,3.0,0.15,108.2
78,US-2023-100913,05/07/2023,11/05/2023,Sofia Thomas,Consumer,West,Office Supplies,Paper,HP Premium Paper Value,15.05,1.0,0.0,9.43
79,US-2023-102649,"January 12, 2023",01/16/2023,Omar Wilson,Consumer,East,Office Supplies,Envelopes,Kraft Clasp Envelope Pro,24.32,4.0,0.6,0.18
80,US-2024-101683,"April 15, 2024",04/19/2024,Ravi Davis,Corporate,West,Office Supplies,Binders,GBC Binding System Deluxe,33.49,4.0,0.4,10.87
81,US-2021-101286,07/18/2021,20/07/2021,Wei Clark,Corporate,West,Furniture,Chairs,Hon Task Chair Pro,148.41,1.0,0.1,36.37
82,US-2023-103242,04-Jul-2023,2023-07-06,Wei Davis,Consumer,East,Office Supplies,Appliances,Honeywell Fan Pro,779.25,4.0,0.0,318.47
83,US-2022-103319,21/04/2022,23-Apr-2022,Mia Walker,Consumer,South,Technology,Copiers,Canon imageCLASS Copier Classic,1261.11,1.0,0.0,255.62
84,US-2021-101083,24-Feb-2021,2021-02-27,Noah Nair,Consumer,South,Technology,Machines,Cubify 3D Printer Pro,733.94,1.0,0.15,55.6
85,US-2022-101214,02/15/2022,19/02/2022,Mateo Brown,Corporate,South,Office Supplies,Envelopes,Poly String Envelope Value,67.86,5.0,0.0,
86,US-2021-102334,31/07/2021,05-Aug-2021,Kavya Garcia,Consumer,West,Office Supplies,Paper,HP Premium Paper Standard,51.5,5.0,0.5,16.23
87,US-2024-102126,21/01/2024,23-Jan-2024,Sofia Martinez,Consumer,East,Technology,Accessories,Belkin Cable Value,25.06,1.0,0.2,9.95
88,US-2022-100099,09-Jul-2022,2022-07-13,Olivia Wilson,Corporate,Central,Office Supplies,Labels,Avery Label Set Value,9.16,1.0,0.2,5.35
89,US-2022-101584,14-Jan-2022,2022-01-17,Liam Davis,Consumer,West,Office Supplies,Binders,Wilson Jones Binder Value,19.02,2.0,0.5,2.78
90,US-2023-102639,03/11/2023,16/03/2023,James Patel,Corporate,East,Office Supplies,Appliances,Hoover Vacuum Pro,308.19,2.0,0.1,108.67
91,US-2022-100563,30/11/2022,03-Dec-2022,Chloe Johnson,Corporate,East,Technology,Machines,Lexmark Printer Pro,1178.94,2.0,0.2,-44.86
92,US-2022-101141,12-Oct-2022,2022-10-15,Ravi Wilson,Corporate,West,Furniture,Bookcases,Sauder Bookcase Standard,920.86,3.0,0.0,207.97
93,US-2023-100220,05/10/2023,17/05/2023,Grace Wright,Consumer,Central,Furniture,Furnishings,Eldon Desk Lamp Standard,82.43,2.0,0.0,35.27
94,US-2024-101683,15-Apr-2024,2024-04-19,Ravi Davis,Corporate,West,Technology,Machines,Lexmark Printer Classic,1145.51,2.0,0.3,-119.58
95,US-2021-100611,2021-09-20,"September 23, 2021",Yusuf Davis,Corporate,Central,Office Supplies,Appliances,Honeywell Fan Value,222.54,2.0,0.0,87.12
96,US-2024-100015,"January 09, 2024",01/12/2024,Arjun King,Home Office,East,Office Supplies,Labels,Avery Label Set Deluxe,9.92,2.0,0.4,4.39
97,US-2022-101698,24-Dec-2022,2022-12-27,Nina Young,Corporate,East,Technology,Machines,Lexmark Printer Value,1850.77,3.0,0.3,-232.54
98,US-2024-101957,02/03/2024,08/02/2024,Kavya Brown,Consumer,West,Technology,Copiers,Hewlett Packard Copier Pro,2056.83,1.0,0.0,420.27
99,US-2021-102710,31/12/2021,05-Jan-2022,Amit Rodriguez,Consumer,Central,Furniture,Tables,Bretford Conference Table Classic,359.83,2.0,0.3,-19.93
100,US-2023-100650,24-Aug-2023,2023-08-30,Kenji Wright,Consumer,West,Office Supplies,Art,Newell Scissors Standard,34.05,3.0,0.4,8.73
101,US-2024-100187,2024-12-24,"December 31, 2024",Grace Clark,Consumer,South,Office Supplies,Storage,SAFCO Storage Bin Deluxe,91.17,1.0,0.0,37.0
102,US-2022-100478,2022-03-06,"March 10, 2022",Emma Chen,Consumer,East,Office Supplies,Fasteners,Bostitch Staples Deluxe,3.79,1.0,0.1,2.51
103,US-2022-100311,02/04/2022,07-Apr-2022,Zoe Smith,Home Office,West,Technology,Copiers,Hewlett Packard Copier Deluxe,1215.89,1.0,0.15,43.42
104,US-2021-100890,12/16/2021,21/12/2021,Zoe King,Consumer,Central,Office Supplies,Appliances,Hoover Vacuum Standard,190.29,4.0,0.0,72.95
105,US-2022-102449,2022-04-30,"May 03, 2022",Ethan Brown,Corporate,South,Technology,Accessories,Logitech Mouse Classic,30.87,1.0,0.5,-0.43
106,US-2022-101094,01/03/2022,08-Mar-2022,Olivia Chen,Corporate,West,Office Supplies,Paper,Xerox Multipurpose Paper Value,42.27,4.0,0.2,24.32
107,US-2022-100046,2022-07-21,"July 25, 2022",Maria Smith,Corporate,East,Office Supplies,Labels,Avery Label Set Pro,15.09,2.0,0.0,9.78
108,US-2021-100077,01-Mar-2021,2021-03-02,Ravi Thomas,Home Office,West,Technology,Copiers,Canon imageCLASS Copier Classic,4544.94,4.0,0.1,647.34
109,US-2021-100263,"January 17, 2021",01/21/2021,Amit Patel,Corporate,West,Office Supplies,Art,Newell Scissors Pro,48.76,4.0,0.15,25.58
110,US-2024-100880,2024-11-12,"November 17, 2024",Zoe Nair,Consumer,West,Furniture,Furnishings,Eldon Desk Lamp Standard,51.11,1.0,0.0,22.57
111,US-2024-100318,26/04/2024,28-Apr-2024,Laura Kumar,Corporate,Central,Technology,Copiers,Hewlett Packard Copier Standard,3146.51,2.0,0.15,143.34
112,US-2024-100235,"October 23, 2024",10/28/2024,Sofia Smith,Home Office,South,Furniture,Bookcases,Sauder Bookcase Standard,752.35,3.0,0.0,206.22
113,US-2024-102113,07/05/2024,11-May-2024,Olivia Davis,Corporate,South,Office Supplies,Appliances,Avanti Refrigerator Standard,362.84,2.0,0.0,151.05
114,US-2021-101265,"November 07, 2021",11/11/2021,Ravi Brown,Home Office,Central,Technology,Phones,Apple iPhone Accessory Value,430.91,1.0,0.0,130.02
115,US-2021-100915,"January 30, 2021",02/01/2021,Carlos Clark,Consumer,West,Office Supplies,Binders,Wilson Jones Binder Standard,35.79,4.0,0.15,19.67
116,US-2023-102146,18-Feb-2023,2023-02-24,Maria Nair,Consumer,East,Office Supplies,Supplies,Stanley Hole Punch Standard,34.89,1.0,0.0,20.38
117,US-2022-101375,"January 18, 2022",01/20/2022,Emma Wilson,Consumer,Central,Furniture,Bookcases,Bush Classic Bookcase Deluxe,523.38,2.0,0.0,142.94
118,US-2023-102142,02/07/2023,10/02/2023,Noah Anderson,Consumer,South,Furniture,Furnishings,Fellowes Wall Clock Value,149.92,3.0,0.0,61.02
119,US-2021-101289,"June 13, 2021",06/20/2021,Olivia Chen,Corporate,East,Office Supplies,Appliances,Honeywell Fan Standard,84.52,1.0,0.5,-13.77
120,US-2022-101823,10/11/2022,17-Nov-2022,Amit Kumar,Corporate,West,Office Supplies,Storage,IRIS Storage Box Standard,101.42,1.0,0.0,42.64
121,US-2023-102488,"March 19, 2023",03/22/2023,Olivia Chen,Consumer,West,Office Supplies,Labels,Sharpie Label Tape Classic,52.73,5.0,0.1,36.46
122,US-2023-103001,"May 22, 2023",05/25/2023,Nina Wilson,Home Office,South,Technology,Accessories,Belkin Cable Pro,51.19,1.0,0.1,
123,US-2022-100901,2022-07-21,"July 25, 2022",Maria Brown,Corporate,West,Furniture,Bookcases,Sauder Bookcase Classic,409.36,2.0,0.5,-163.91
124,US-2021-101043,2021-10-26,"October 31, 2021",James Anderson,Home Office,Central,Office Supplies,Fasteners,ACCO Fasteners Standard,21.65,3.0,0.0,15.85
125,US-2022-100103,06-Aug-2022,2022-08-10,Priya Nair,Consumer,Central,Furniture,Bookcases,Sauder Bookcase Classic,141.7,1.0,0.5,-66.24
126,US-2021-101882,05-Nov-2021,2021-11-06,Arjun Davis,Corporate,Central,Furniture,Tables,Bevis Table Classic,82.89,1.0,0.8,-224.93
127,US-2023-101455,25-Jun-2023,2023-07-02,Grace Garcia,Consumer,South,Technology,Phones,Cisco IP Phone Classic,,6.0,0.1,448.52
128,US-2021-103313,13/01/2021,19-Jan-2021,Mia Clark,Corporate,West,Office Supplies,Art,Prismacolor Pencils Pro,31.78,4.0,0.2,15.89
129,US-2022-100707,01/07/2022,13/01/2022,Noah Wilson,Consumer,East,Office Supplies,Art,Newell Scissors Standard,29.0,2.0,0.0,17.23
130,US-2024-102364,"January 09, 2024",01/12/2024,Grace Martinez,Home Office,South,Office Supplies,Storage,IRIS Storage Box Value,98.69,1.0,0.2,28.08
131,US-2024-100038,2024-03-12,"March 18, 2024",Emma King,Home Office,Central,Furniture,Furnishings,Fellowes Wall Clock Value,71.63,2.0,0.4,5.76
132,US-2022-102950,21/10/2022,26-Oct-2022,Grace Johnson,Corporate,Central,Office Supplies,Labels,Avery Label Set Pro,57.65,4.0,0.0,38.12
133,US-2024-103238,10-May-2024,2024-05-14,Ravi Thomas,Home Office,Central,Office Supplies,Fasteners,Bostitch Staples Pro,6.31,1.0,0.0,4.53
134,US-2024-100694,01/29/2024,02/02/2024,Ethan Garcia,Consumer,West,Office Supplies,Supplies,Stanley Hole Punch Value,25.95,1.0,0.2,12.02
135,US-2023-101685,2023-11-24,"November 28, 2023",Amit Brown,Corporate,West,Office Supplies,Storage,SAFCO Storage Bin Standard,237.25,4.0,0.2,76.68
136,US-2022-101569,29-Sep-2022,2022-10-05,Sofia King,Consumer,East,Office Supplies,Envelopes,Poly String Envelope Classic,80.97,5.0,0.15,42.81
137,US-2021-101467,10/18/2021,21/10/2021,Wei Wilson,Consumer,East,Office Supplies,Fasteners,Bostitch Staples Value,29.03,4.0,0.1,19.13
138,US-2021-103259,2021-09-14,"September 19, 2021",Yusuf King,Consumer,West,Furniture,Chairs,Global Deluxe Chair Pro,1398.2,6.0,0.0,461.53
139,US-2024-102041,"November 28, 2024",11/29/2024,Ravi Thomas,Home Office,Central,Furniture,Tables,Bevis Table Classic,2958.25,6.0,0.0,758.12
140,US-2023-101021,"September 23, 2023",09/26/2023,Omar Smith,Consumer,East,Office Supplies,Binders,Acco Binder Standard,32.77,3.0,0.0,19.46
141,US-2024-102914,12-Jul-2024,2024-07-17,Kenji Davis,Corporate,South,Office Supplies,Binders,GBC Binding System Standard,35.3,2.0,0.1,19.53
142,US-2021-101952,2021-07-05,"July 09, 2021",Hannah Wright,Home Office,Central,Technology,Copiers,Hewlett Packard Copier Deluxe,1535.43,1.0,0.1,154.97
143,US-2024-102040,02-Jul-2024,2024-07-03,James King,Home Office,West,Technology,Copiers,Canon imageCLASS Copier Pro,4057.16,2.0,0.0,767.25
144,US-2023-102666,2023-07-24,"July 29, 2023",Lucas Walker,Corporate,Central,Office Supplies,Envelopes,Kraft Clasp Envelope Value,14.96,1.0,0.0,8.83
145,US-2022-100226,"December 23, 2022",12/25/2022,Mia Thomas,Consumer,South,Office Supplies,Storage,SAFCO Storage Bin Deluxe,312.77,6.0,0.3,52.35
146,US-2024-100733,"September 07, 2024",09/11/2024,Emma King,Consumer,South,Office Supplies,Art,Prismacolor Pencils Standard,52.63,4.0,0.3,19.66
147,US-2022-102152,24-Aug-2022,2022-08-27,Amit Kumar,Consumer,South,Office Supplies,Labels,Sharpie Label Tape Standard,7.85,1.0,0.0,5.22
148,US-2021-100660,08/07/2021,11/08/2021,Mia Chen,Consumer,West,Office Supplies,Supplies,Elmer's Glue Pack Pro,17.66,1.0,0.1,9.16
149,US-2022-101342,2022-05-22,"May 29, 2022",Wei Wilson,Consumer,East,Office Supplies,Labels,Sharpie Label Tape Deluxe,16.34,3.0,0.2,9.53
150,US-2022-101420,2022-10-24,"October 26, 2022",Liam Kumar,Home Office,East,Technology,Copiers,Hewlett Packard Copier Classic,2876.67,3.0,0.5,-1820.95
151,US-2023-100620,"November 19, 2023",11/21/2023,Liam Rodriguez,Consumer,East,Furniture,Chairs,Hon Task Chair Value,847.89,4.0,0.0,265.98
152,US-2023-100236,2023-01-12,"January 13, 2023",Ravi King,Consumer,South,Office Supplies,Storage,IRIS Storage Box Deluxe,161.72,2.0,0.1,56.39
153,US-2021-101172,04/07/2021,14/04/2021,Arjun Clark,Home Office,West,Office Supplies,Appliances,Avanti Refrigerator Standard,419.56,4.0,0.15,119.12
154,US-2022-101828,2022-11-07,"November 11, 2022",Grace Chen,Corporate,East,Office Supplies,Fasteners,Bostitch Staples Deluxe,6.45,1.0,0.4,3.61
155,US-2022-102763,2022-10-03,"October 08, 2022",Kavya Rodriguez,Home Office,East,Office Supplies,Fasteners,ACCO Fasteners Standard,12.12,,0.0,8.4
156,US-2022-100453,01/04/2022,03-Apr-2022,Liam Brown,Corporate,West,Office Supplies,Art,Sharpie Marker Set Standard,8.74,1.0,0.2,4.3
157,US-2021-100006,"July 09, 2021",07/15/2021,Ravi Patel,Consumer,South,Office Supplies,Labels,Sharpie Label Tape Value,7.92,1.0,0.3,4.39
158,US-2024-101859,2024-06-03,"June 08, 2024",Yusuf Kumar,Consumer,Central,Office Supplies,Art,Prismacolor Pencils Pro,14.57,2.0,0.1,7.1
159,US-2024-103257,"December 26, 2024",12/29/2024,Omar Nair,Consumer,West,Technology,Machines,Lexmark Printer Deluxe,543.42,1.0,0.2,20.94
160,US-2023-103099,"June 15, 2023",06/19/2023,Olivia Johnson,Corporate,Central,Office Supplies,Storage,SAFCO Storage Bin Value,70.58,1.0,0.15,22.18
161,US-2024-102276,08/03/2024,09/08/2024,Omar Anderson,Consumer,East,Office Supplies,Storage,SAFCO Storage Bin Value,181.54,3.0,0.3,26.03
162,US-2024-100554,26-Mar-2024,2024-03-30,Carlos King,Consumer,Central,Furniture,Chairs,Harbour Creations Chair Pro,69.83,1.0,0.15,15.09
163,US-2021-101583,2021-09-07,"September 12, 2021",Olivia Lee,Consumer,South,Technology,Copiers,Canon imageCLASS Copier Classic,2269.07,2.0,0.2,117.94
164,US-2021-102137,02/01/2021,07-Jan-2021,Laura Walker,Consumer,Central,Office Supplies,Appliances,Honeywell Fan Deluxe,115.44,1.0,0.0,45.43
165,US-2022-101199,11/25/2022,30/11/2022,Kenji Brown,Home Office,South,Office Supplies,Supplies,Elmer's Glue Pack Standard,18.11,1.0,0.0,9.8
166,US-2022-102857,12/16/2022,20/12/2022,Priya Lee,home office,East,Technology,Accessories,SanDisk USB Drive Value,35.33,1.0,0.15,14.45
167,US-2021-100651,2021-06-13,"June 16, 2021",Daniel Johnson,Home Office,East,Office Supplies,Supplies,Elmer's Glue Pack Value,48.47,2.0,0.3,19.49
168,US-2022-102242,2022-12-03,"December 10, 2022",Daniel Martinez,Consumer,West,Office Supplies,Fasteners,Bostitch Staples Value,1.32,1.0,0.8,-0.77
169,US-2022-103144,2022-10-04,"October 08, 2022",Amit Wilson,Consumer,Central,Technology,Machines,Cubify 3D Printer Deluxe,2145.19,4.0,0.4,-553.2
170,US-2022-102816,02/10/2022,15/02/2022,Ravi Wright,Consumer,West,Office Supplies,Labels,Sharpie Label Tape Deluxe,50.61,5.0,0.0,33.39
171,US-2023-100881,"January 19, 2023",01/22/2023,Mia Thomas,Consumer,West,Office Supplies,Storage,SAFCO Storage Bin Deluxe,120.61,1.0,0.0,50.45
